Numeration;Evaluation_unit;Transect;Cover;Date;Family;Genus;Species_individual;Reference_altitude;UTM_zone;Easting_coord;Northing_coord;Altitude
1;TAM-18;NO;medium;6/11/2024;Poaceae;Festuca;Festuca_peruviana;53;19L;418412;8394630;4415
2;TAM-18;NO;medium;6/11/2024;Poaceae;Cinnagrostis;Cinnagrostis_curvula;27;19L;418409;8394633;4415
3;TAM-18;NO;medium;6/11/2024;Poaceae;Paspalum;Paspalum_pygmaeum;1.5;19L;418411;8394652;4400
4;TAM-18;NO;medium;6/11/2024;Poaceae;Cinnagrostis;Cinnagrostis_vicunarum;24;19L;418408;8394638;4401
5;TAM-18;NO;medium;6/11/2024;Poaceae;Nassella;Nassella_mexicana;20;19L;418111;8394653;4400
6;TAM-18;NO;medium;6/11/2024;Cyperaceae;Carex;Carex_mandoniana;8;19L;418407;8394639;4402
7;TAM-18;SE;medium;6/11/2024;Poaceae;Festuca;Festuca_peruviana;53;19L;418412;8394630;4415
8;TAM-18;SE;medium;6/11/2024;Poaceae;Cinnagrostis;Cinnagrostis_curvula;27;19L;418409;8394633;4415
9;TAM-18;SE;medium;6/11/2024;Poaceae;Paspalum;Paspalum_pygmaeum;1.5;19L;418411;8394652;4400
10;TAM-18;SE;medium;6/11/2024;Poaceae;Cinnagrostis;Cinnagrostis_vicunarum;24;19L;418408;8394638;4401
11;TAM-18;SE;medium;6/11/2024;Poaceae;Nassella;Nassella_mexicana;20;19L;418111;8394653;4400
12;TAM-18;SE;medium;6/11/2024;Cyperaceae;Carex;Carex_mandoniana;8;19L;418407;8394639;4402
13;TAM-18;SO;medium;6/11/2024;Poaceae;Festuca;Festuca_peruviana;53;19L;418412;8394630;4415
14;TAM-18;SO;medium;6/11/2024;Poaceae;Cinnagrostis;Cinnagrostis_curvula;27;19L;418409;8394633;4415
15;TAM-18;SO;medium;6/11/2024;Poaceae;Paspalum;Paspalum_pygmaeum;1.5;19L;418411;8394652;4400
